store,city,state,zip
9112,"baton rouge",LA,70806
9202,meridian,MS,39301
9204,"oklahoma city",OK,73134
9206,arlington,TX,76011
9209,pueblo,CO,81008
9302,"baton rouge",LA,70836
9303,louisville,KY,40216
9304,"oklahoma city",OK,73118
9306,arlington,TX,76011
9309,"colorado springs",CO,80909
9402,"lake charles",LA,70601
9403,louisville,KY,40202
9404,"oklahoma city",OK,73149
9409,"colorado springs",CO,80920
9503,clarksville,IN,47129
9504,norman,OK,73072
9506,"new york",NY,10036
9512,"baton rouge",LA,70802
9603,louisville,KY,40219
9604,"midwest city",OK,73110
9609,longmont,CO,80501
9700,tempe,AZ,85281
9704,shawnee,OK,74804
9706,nashville,TN,37207
9708,"baton rouge",LA,70802
9709,greeley,CO,80631
9800,"little rock",AR,72201
9804,lawton,OK,73501
9806,mabelvale,AR,72103
9808,gilbert,AZ,85233
9812,metairie,LA,70006
9900,"little rock",AR,72201
9906,"little rock",AR,72201
9909,cheyenne,WY,82009
