sku,store,saledate,stype,total_quantity_returned,total_refunds
39397,3402,2005-08-14,R,1,10.000
39633,2009,2005-03-11,R,1,21.000
39633,2503,2004-11-06,R,1,21.000
39633,3209,2004-09-28,R,1,21.000
39633,3503,2004-11-14,R,1,21.000
39633,7502,2004-08-26,R,1,21.000
39633,8002,2005-08-19,R,1,21.000
39633,8102,2004-08-27,R,1,21.000
39689,8702,2005-05-14,R,1,16.000
39852,4309,2005-07-17,R,1,42.500
39951,1402,2004-11-05,R,1,13.500
39957,3604,2005-02-15,R,1,59.000
39957,5904,2004-12-20,R,1,59.000
40127,4403,2005-07-21,R,1,59.000
40263,3502,2005-08-18,R,1,36.000
41215,6703,2005-06-07,R,1,20.000
41586,4807,2005-02-03,R,1,15.000
41634,1302,2004-12-06,R,1,40.200
41983,2202,2005-01-14,R,1,18.000
41983,3909,2004-10-05,R,1,16.990
41983,8802,2004-11-27,R,1,18.000
43482,6202,2005-02-18,R,1,14.750
43743,8702,2004-11-15,R,1,37.120
43993,1602,2004-12-17,R,1,14.000
43993,4109,2004-08-01,R,1,14.000
44140,8402,2005-02-24,R,1,37.500
44834,4102,2004-11-21,R,1,23.450
46020,3009,2005-05-14,R,1,34.000
46388,7003,2005-04-26,R,1,49.500
46610,4409,2005-03-04,R,1,10.500
46836,8902,2005-02-01,R,1,28.000
46932,3407,2004-10-22,R,1,18.000
47031,909,2005-02-10,R,1,9.750
47107,3707,2005-03-17,R,1,49.750
47416,1003,2005-07-31,R,1,13.990
47422,404,2005-02-17,R,1,12.000
47422,3503,2004-12-28,R,1,12.000
47425,7603,2005-08-06,R,1,16.250
47611,7603,2005-02-15,R,1,58.000
47667,5403,2005-05-11,R,1,139.000
47815,5402,2005-02-24,R,1,13.130
48229,1509,2005-05-21,R,1,20.000
48229,4204,2005-03-28,R,1,16.990
48229,5402,2005-07-26,R,1,20.000
48667,8209,2005-08-21,R,1,29.500
48698,103,2005-08-03,R,1,132.300
49633,3202,2005-04-14,R,1,21.000
49818,1007,2005-06-22,R,1,20.000
49818,2907,2005-08-20,R,1,20.000
50103,1407,2005-07-02,R,1,69.000
50218,3604,2004-10-24,R,1,59.000
52486,6703,2005-01-21,R,1,29.750
53018,6902,2004-12-16,R,1,21.000
53420,3109,2005-02-25,R,1,20.000
53993,1502,2005-06-29,R,1,14.000
56179,3602,2005-02-18,R,1,33.500
56605,2004,2004-12-25,R,1,24.990
56833,1009,2005-03-27,R,1,49.000
56846,2203,2005-02-25,R,1,24.000
56855,1509,2005-01-15,R,1,10.000
57034,2509,2005-03-30,R,1,42.000
57034,8609,2005-06-04,R,1,29.990
57057,907,2005-03-30,R,1,31.500
57386,8402,2005-05-20,R,1,59.990
57456,8802,2004-12-14,R,1,39.500
57495,2109,2005-01-08,R,1,6.000
57574,404,2004-09-17,R,1,16.990
57574,2004,2005-03-13,R,1,20.000
57667,4503,2005-04-19,R,1,139.000
58118,2503,2005-04-30,R,1,48.000
58229,504,2005-07-18,R,1,20.000
58229,3109,2005-06-29,R,1,20.000
58335,407,2005-07-16,R,1,19.990
58402,9302,2004-08-28,R,1,40.000
58442,209,2005-08-26,R,1,35.000
58667,3302,2005-07-31,R,1,20.650
58721,409,2005-05-02,R,1,78.400
58803,1709,2005-04-20,R,1,40.000
58803,7103,2004-09-23,R,1,40.000
58819,402,2005-08-08,R,1,46.430
58835,709,2005-02-18,R,1,36.000
58963,2604,2005-07-08,R,1,25.000
59092,5302,2005-04-23,R,1,199.990
59092,8204,2005-05-01,R,1,199.990
59633,1304,2005-07-05,R,1,22.500
59633,1607,2005-04-09,R,1,21.000
59633,3209,2005-05-29,R,1,21.000
59633,3502,2004-08-09,R,1,21.000
59633,4007,2004-12-19,R,1,21.000
59633,7104,2004-11-05,R,1,21.000
59633,8403,2004-12-10,R,1,21.000
59927,1104,2004-08-14,R,1,36.000
63426,4807,2005-01-15,R,1,49.990
63993,3602,2005-07-01,R,1,14.000
63993,5202,2004-10-01,R,1,14.000
66183,3309,2004-10-12,R,1,29.000
66370,4403,2005-03-14,R,1,49.990
66370,6902,2005-08-18,R,1,22.370
66388,4403,2004-11-11,R,1,29.000
66388,9402,2005-01-21,R,1,19.430
66668,1904,2004-11-01,R,1,22.000
67034,203,2005-04-25,R,1,42.000
67034,707,2005-05-15,R,1,42.000
67402,3009,2005-02-26,R,1,9.990
67437,8803,2005-08-21,R,1,34.990
67451,1202,2004-12-29,R,1,98.750
67605,8402,2005-05-10,R,1,25.600
67931,709,2005-07-05,R,1,22.000
67975,2102,2005-03-09,R,1,34.000
68065,1007,2005-06-30,R,1,30.000
68065,3109,2005-07-30,R,1,19.990
68065,3304,2005-03-04,R,1,19.990
68065,3307,2005-03-21,R,1,19.990
68065,3504,2005-02-19,R,1,30.000
68065,4209,2005-04-07,R,1,30.000
68065,5203,2005-08-11,R,1,30.000
68065,7502,2005-02-20,R,1,30.000
68206,3802,2005-08-11,R,1,9.800
68327,7003,2005-07-20,R,1,4.000
68434,8407,2005-08-19,R,1,39.000
68434,9202,2005-05-30,R,1,39.000
68667,1202,2005-08-09,R,1,29.500
68667,1807,2005-08-21,R,1,14.750
68667,5704,2005-07-29,R,1,29.990
68721,2307,2005-06-12,R,1,98.000
69027,2602,2005-04-24,R,1,9.000
69099,5402,2005-07-24,R,1,32.000
69100,2102,2005-08-25,R,1,74.000
69483,8404,2005-06-09,R,1,39.500
69537,407,2005-08-23,R,1,3.350
69633,102,2005-04-18,R,1,21.000
69633,309,2004-11-01,R,1,21.000
69633,3109,2004-10-14,R,1,21.000
69633,5303,2005-08-21,R,1,22.500
69633,5604,2005-05-12,R,1,21.000
69927,3602,2004-12-07,R,1,46.000
69927,8609,2004-10-25,R,1,36.000
69957,4904,2005-01-09,R,1,59.000
70598,2702,2005-04-08,R,1,15.000
71232,2702,2005-06-30,R,1,49.990
71634,8404,2005-01-03,R,1,60.000
71634,9304,2005-04-04,R,1,60.000
72062,2402,2005-02-10,R,1,21.500
73466,2804,2005-03-19,R,1,197.500
73466,5302,2005-04-06,R,1,395.000
74106,6404,2005-02-12,R,1,74.000
74334,1407,2005-04-13,R,1,53.500
74334,7707,2005-06-17,R,1,53.500
74861,6604,2005-07-11,R,1,9.990
76975,9302,2004-11-19,R,1,69.000
77268,2504,2005-07-08,R,1,29.750
77351,9709,2005-04-05,R,1,36.750
77359,4303,2005-04-26,R,1,54.000
77359,5004,2005-04-09,R,1,54.000
77422,604,2004-10-23,R,1,12.000
78113,7403,2005-01-27,R,1,18.000
78164,5203,2005-08-08,R,1,39.500
78168,3607,2005-07-31,R,1,22.250
78374,6002,2005-06-17,R,1,79.500
78679,5304,2005-05-17,R,1,7.000
79477,2503,2005-07-08,R,1,46.500
79579,2009,2005-06-30,R,1,32.000
79633,1003,2005-03-01,R,1,21.000
79633,6209,2005-03-09,R,1,21.000
79851,1107,2005-07-13,R,1,24.500
79851,3307,2005-03-15,R,1,24.500
79957,5503,2005-01-30,R,1,59.000
80127,8209,2005-07-25,R,1,59.000
80839,5202,2005-08-22,R,1,18.000
81634,5402,2005-03-30,R,1,60.000
82340,703,2005-07-13,R,1,65.000
82670,5603,2004-11-18,R,1,25.000
84003,5004,2004-11-29,R,1,49.990
84077,4303,2005-06-23,R,1,22.000
84262,3009,2005-01-07,R,1,19.990
84388,802,2005-04-12,R,1,2.000
86618,6202,2005-01-27,R,1,3.500
86752,1202,2005-02-25,R,1,5.600
86834,1002,2005-04-01,R,1,65.660
87060,4903,2004-10-23,R,1,16.000
87071,6109,2005-08-18,R,1,39.990
87351,3003,2005-06-01,R,1,12.250
87379,2203,2005-07-28,R,1,16.000
87464,202,2005-03-30,R,1,44.000
87505,604,2005-03-27,R,1,39.000
87536,3109,2004-11-06,R,1,79.000
87670,4202,2005-04-23,R,1,30.000
87746,5402,2005-04-17,R,1,14.500
87775,6202,2005-04-06,R,1,88.000
87863,502,2005-02-21,R,1,69.000
87863,3107,2005-02-25,R,1,69.000
88010,103,2005-04-08,R,1,54.000
88010,6703,2005-08-15,R,1,27.000
88010,8503,2005-04-25,R,1,54.000
88025,8402,2005-07-21,R,1,69.750
88029,103,2005-02-14,R,1,7.000
88255,902,2005-02-13,R,1,34.000
88704,1502,2005-05-25,R,1,129.000
88786,3807,2005-04-01,R,1,16.000
88870,7403,2005-07-27,R,1,33.000
88932,3309,2005-01-14,R,1,49.000
89142,3507,2005-04-18,R,1,10.000
89975,3802,2005-08-23,R,1,41.000
90074,5204,2005-01-18,R,1,20.000
90138,7407,2005-08-22,R,1,19.990
90359,7707,2005-03-14,R,1,30.000
90839,3202,2005-04-22,R,1,18.000
91089,3902,2005-06-02,R,1,12.500
91089,4007,2004-11-09,R,1,25.000
91089,9804,2005-08-05,R,1,6.250
92207,1002,2004-12-23,R,1,32.500
92207,2609,2004-12-15,R,1,32.500
92207,8403,2004-12-28,R,1,32.500
92336,9304,2005-06-16,R,1,65.000
93426,2204,2005-02-14,R,1,69.000
94263,609,2005-04-24,R,1,3.000
94337,2607,2005-03-21,R,1,187.500
94337,6102,2004-08-16,R,1,299.990
94337,6703,2004-12-11,R,1,375.000
94337,7904,2005-03-18,R,1,375.000
96337,3309,2005-07-26,R,1,9.500
96370,3603,2005-08-04,R,1,22.370
96370,4309,2005-08-08,R,1,15.650
96585,7404,2004-12-20,R,1,69.000
96766,5602,2004-11-22,R,1,50.000
97229,2109,2005-08-05,R,1,29.990
97381,203,2005-02-26,R,1,59.000
97402,9503,2005-01-27,R,1,24.000
97605,5104,2005-08-07,R,1,16.000
97696,4003,2005-08-18,R,1,56.250
97842,1407,2005-04-11,R,1,39.500
98147,1103,2005-05-03,R,1,20.470
98187,1003,2005-05-01,R,1,44.000
98201,1304,2005-08-11,R,1,40.000
98229,4409,2005-02-19,R,1,20.000
98327,3303,2005-06-30,R,1,1.500
98408,2202,2005-08-07,R,1,23.000
98474,8407,2005-08-20,R,1,42.500
98523,3009,2005-07-29,R,1,6.990
98635,102,2005-06-27,R,1,13.000
98635,402,2005-08-08,R,1,7.990
98635,4303,2005-02-20,R,1,9.990
98635,7507,2005-07-06,R,1,7.990
98635,8602,2005-02-14,R,1,9.990
98635,9304,2004-08-14,R,1,9.990
99248,8702,2005-04-19,R,1,158.000
99616,7603,2005-04-03,R,1,9.990
99768,2303,2005-07-30,R,1,9.100
99891,9603,2005-08-20,R,1,7.990
101634,9103,2005-02-26,R,1,60.000
102001,3502,2005-02-09,R,1,5.000
102241,7007,2004-12-04,R,1,79.000
103476,909,2005-02-02,R,1,6.000
103476,7702,2004-08-13,R,1,5.000
103482,3802,2004-12-02,R,1,39.990
103990,402,2005-01-08,R,1,39.000
103990,2202,2005-01-30,R,1,39.000
103993,204,2005-04-08,R,1,18.000
104283,2204,2005-01-07,R,1,49.000
106115,3003,2005-01-07,R,1,22.490
106830,809,2005-07-11,R,1,84.000
107060,8309,2005-02-13,R,1,16.000
107454,102,2005-04-15,R,1,27.500
107466,3209,2005-08-21,R,1,10.000
107800,409,2005-04-01,R,1,38.000
107800,2307,2005-08-16,R,1,38.000
107800,4409,2004-11-23,R,1,37.000
107800,6703,2004-12-08,R,1,37.000
107800,7707,2004-11-25,R,1,37.000
107800,8609,2004-11-23,R,1,37.000
107842,2404,2004-11-29,R,1,39.500
107845,507,2005-05-25,R,1,19.990
108081,3807,2005-03-19,R,1,35.000
108233,604,2005-08-08,R,1,6.990
108439,8402,2005-08-02,R,1,22.000
108507,507,2005-01-22,R,1,16.500
108507,704,2005-03-03,R,1,16.500
108507,704,2005-05-03,R,1,16.500
108507,1307,2005-01-10,R,1,16.500
108507,1709,2004-12-05,R,1,16.500
108507,2202,2005-05-28,R,1,16.500
108507,2502,2004-10-28,R,1,16.500
108507,2502,2004-11-26,R,1,16.500
108507,9304,2004-10-05,R,1,16.500
108635,6203,2005-06-15,R,1,48.000
108803,9402,2005-05-17,R,1,40.000
108931,5302,2005-02-15,R,1,49.000
109212,7102,2005-08-01,R,1,13.650
109773,102,2005-06-03,R,1,59.000
109773,4307,2005-06-17,R,1,59.000
111634,7907,2004-11-07,R,1,60.000
112186,4802,2004-11-27,R,1,36.500
112307,1102,2005-02-03,R,1,12.000
112307,1607,2004-08-04,R,1,12.000
112307,2303,2004-11-26,R,1,12.000
112307,2707,2005-07-07,R,1,9.000
112307,5004,2005-01-14,R,1,12.000
112307,6404,2005-08-12,R,1,6.000
112307,8004,2004-12-26,R,1,12.000
113066,502,2005-01-02,R,1,7.500
113942,1004,2005-01-18,R,1,42.000
113993,802,2004-09-30,R,1,18.000
113993,4707,2004-08-04,R,1,18.000
114017,7904,2004-10-14,R,1,29.990
114133,7703,2005-02-25,R,1,7.250
114412,6009,2005-03-03,R,1,12.250
114677,6202,2005-01-16,R,1,46.410
114716,8402,2004-12-25,R,1,34.000
114727,2109,2005-05-16,R,1,28.500
116018,3709,2005-02-23,R,1,22.000
116281,303,2005-02-25,R,1,17.370
116349,4003,2005-02-24,R,1,19.870
116469,4004,2005-01-30,R,1,12.000
116836,7507,2004-12-06,R,1,28.000
116846,4303,2005-02-25,R,1,10.870
116902,7202,2005-01-21,R,1,6.790
117007,504,2005-07-13,R,1,11.000
117020,3807,2005-05-24,R,1,34.500
117038,8007,2005-08-15,R,1,9.990
117393,5803,2004-12-30,R,1,14.000
117402,2309,2005-03-08,R,1,9.990
117402,5603,2005-01-11,R,1,24.000
117426,203,2005-07-01,R,1,39.990
117426,6109,2005-04-27,R,1,49.000
117426,8602,2005-04-30,R,1,39.200
117789,2707,2005-03-22,R,1,45.000
118014,6903,2005-05-15,R,1,79.060
118042,9804,2005-05-16,R,1,59.000
118065,903,2005-06-08,R,1,90.000
118118,5203,2005-07-12,R,1,9.500
118255,302,2005-04-26,R,1,29.990
118687,7703,2005-08-25,R,1,12.990
118963,3207,2005-04-23,R,1,89.250
118967,7804,2005-07-29,R,1,9.990
119269,302,2005-08-25,R,1,4.200
119334,3309,2005-07-24,R,1,14.990
119334,4003,2005-07-30,R,1,10.490
119477,107,2005-06-11,R,1,49.600
119954,3507,2005-04-18,R,1,39.000
119954,8402,2005-02-10,R,1,39.000
121232,807,2004-09-03,R,1,9.750
122118,3409,2005-08-26,R,1,25.000
122118,4202,2004-12-12,R,1,18.750
122118,7603,2005-06-05,R,1,25.000
122873,7507,2005-06-01,R,1,55.000
123796,4104,2004-12-27,R,1,49.990
123990,1104,2005-01-04,R,1,49.000
124065,9609,2005-01-26,R,1,19.600
126018,502,2005-06-28,R,1,20.000
126469,5504,2005-01-12,R,1,24.000
126605,1004,2005-04-16,R,1,24.990
127419,1004,2005-05-04,R,1,30.000
127419,4404,2005-08-08,R,1,10.490
127842,6203,2005-07-14,R,1,29.620
128129,2104,2005-07-25,R,1,59.000
128471,302,2005-08-25,R,1,16.000
128471,5503,2005-08-26,R,1,11.200
128471,5504,2005-08-09,R,1,16.000
128507,209,2005-07-12,R,1,16.500
128507,4004,2005-08-05,R,1,16.500
128507,5203,2004-10-08,R,1,16.500
128803,2704,2005-08-25,R,1,40.000
128931,8402,2005-04-17,R,1,32.830
128963,204,2005-08-20,R,1,29.000
128963,4502,2005-07-18,R,1,29.000
128967,3302,2005-07-27,R,1,7.000
129492,3209,2005-08-13,R,1,20.000
129784,8102,2005-05-31,R,1,39.500
129954,2204,2004-12-07,R,1,39.000
130074,1203,2005-03-04,R,1,20.000
130561,3507,2005-08-16,R,1,24.000
133101,3102,2004-08-02,R,1,60.000
133482,8204,2004-11-20,R,1,59.000
133895,4502,2005-07-31,R,1,16.000
133895,7602,2005-03-30,R,1,16.000
133895,8402,2004-12-10,R,1,16.000
133920,4302,2005-03-23,R,1,0.900
134150,704,2005-04-21,R,1,49.000
134166,809,2005-04-03,R,1,12.600
134810,4007,2005-04-15,R,1,14.000
134810,7502,2005-02-12,R,1,28.000
136027,3004,2005-03-14,R,1,16.000
136302,8402,2005-02-25,R,1,6.000
136887,2502,2005-02-18,R,1,17.000
136887,2904,2005-03-25,R,1,4.990
137149,7507,2005-06-11,R,1,39.990
137358,3603,2005-06-25,R,1,34.990
137361,2502,2005-08-01,R,1,11.000
137367,9806,2005-02-27,R,1,25.000
137438,6004,2005-06-16,R,1,19.990
137438,7704,2005-05-02,R,1,30.000
137453,5103,2005-03-04,R,1,18.750
137535,1103,2005-08-01,R,1,8.400
137618,8407,2005-07-05,R,1,59.500
137646,2307,2005-07-24,R,1,9.500
138012,2303,2005-03-17,R,1,28.500
138118,9103,2005-07-04,R,1,9.500
138471,4502,2005-08-04,R,1,11.200
138525,709,2005-07-04,R,1,69.000
138843,302,2005-06-02,R,1,39.500
138843,7302,2005-03-28,R,1,39.500
139130,6604,2005-08-08,R,1,17.420
139299,7602,2005-07-31,R,1,31.150
141176,9103,2005-08-05,R,1,24.150
143895,604,2005-02-06,R,1,16.000
143895,3909,2005-05-29,R,1,16.000
143895,9402,2004-11-17,R,1,16.000
143943,909,2005-01-29,R,1,22.050
144372,1602,2005-02-28,R,1,18.000
144402,7804,2005-02-21,R,1,7.370
144717,1004,2004-12-30,R,1,70.000
144717,3502,2005-05-21,R,1,70.000
144717,4102,2005-08-08,R,1,70.000
144717,4109,2005-03-12,R,1,70.000
144717,5102,2004-10-28,R,1,70.000
146019,2602,2005-04-03,R,1,18.000
146020,2304,2004-09-24,R,1,38.000
146022,2102,2005-01-06,R,1,35.000
146948,5704,2005-03-18,R,1,11.000
147496,4303,2004-12-15,R,1,99.990
147505,3307,2005-06-28,R,1,39.000
147602,9304,2005-04-07,R,1,60.000
147775,9202,2005-07-30,R,1,15.400
147800,9503,2005-06-26,R,1,38.000
148012,309,2005-04-27,R,1,22.390
148065,103,2005-06-19,R,1,19.990
148065,1004,2005-07-08,R,1,19.990
148065,2209,2005-02-25,R,1,30.000
148065,7407,2005-01-29,R,1,30.000
148065,8403,2005-06-17,R,1,19.990
148065,9103,2005-04-30,R,1,24.000
148192,3302,2005-03-23,R,1,90.000
148192,3902,2005-02-22,R,1,90.000
148240,5303,2005-02-22,R,1,179.000
148313,6104,2005-07-13,R,1,14.990
148408,7603,2005-08-15,R,1,21.000
148514,203,2005-06-30,R,1,18.000
148646,6902,2004-11-17,R,1,39.990
148963,3207,2005-06-01,R,1,99.000
149233,7002,2005-06-03,R,1,29.990
149338,4203,2005-07-22,R,1,54.000
149503,1904,2005-07-23,R,1,54.000
149631,1807,2005-08-13,R,1,12.000
152307,909,2005-04-14,R,1,9.000
152307,1607,2004-08-01,R,1,12.000
152307,2704,2004-11-28,R,1,12.000
152307,4204,2005-03-15,R,1,12.000
152307,7303,2005-02-09,R,1,12.000
152307,8002,2004-09-12,R,1,12.000
152626,2202,2004-08-13,R,1,29.990
153444,502,2004-12-04,R,1,70.000
153444,2203,2005-03-31,R,1,46.900
153444,8202,2004-12-23,R,1,70.000
153444,8604,2005-06-30,R,1,46.900
153895,1703,2005-03-22,R,1,16.000
153895,2007,2005-05-13,R,1,16.000
153895,3009,2005-01-18,R,1,16.000
153942,4202,2004-10-16,R,1,40.000
153983,8109,2005-01-20,R,1,7.500
153990,4209,2004-12-01,R,1,39.000
153990,7103,2005-02-26,R,1,39.000
154175,1807,2004-09-22,R,1,16.990
154220,503,2004-09-15,R,1,12.000
154661,4607,2005-03-15,R,1,99.000
154690,7907,2005-07-20,R,1,9.500
154738,8402,2005-06-24,R,1,34.990
156128,7502,2005-01-10,R,1,24.990
156862,3807,2005-07-07,R,1,25.600
157031,6109,2004-12-05,R,1,39.000
157268,2607,2004-12-14,R,1,44.620
157365,3503,2005-06-10,R,1,22.250
157605,3809,2005-08-02,R,1,15.750
157625,3209,2005-07-29,R,1,12.150
157683,5004,2005-03-24,R,1,36.000
158042,8102,2005-08-03,R,1,20.650
158061,4109,2005-04-27,R,1,106.500
158229,3807,2005-06-27,R,1,20.000
158229,8402,2004-11-11,R,1,20.000
158407,3507,2005-05-17,R,1,60.000
158444,9103,2005-06-07,R,1,79.000
158705,8707,2005-06-17,R,1,36.000
158866,1304,2005-01-26,R,1,27.990
159239,7007,2005-06-02,R,1,79.000
159593,9103,2005-06-29,R,1,49.990
159711,102,2005-05-04,R,1,29.000
159902,2304,2005-01-21,R,1,14.500
159954,1103,2004-12-06,R,1,26.130
159954,7402,2005-04-18,R,1,19.500
160198,7707,2005-08-17,R,1,29.000
160436,809,2005-01-03,R,1,5.000
160436,8709,2004-11-26,R,1,4.000
161232,3504,2004-08-20,R,1,29.990
161232,5104,2005-06-04,R,1,39.990
162036,3807,2005-01-01,R,1,45.000
162036,4907,2004-08-04,R,1,33.750
162036,7507,2004-08-27,R,1,45.000
162307,1302,2004-08-09,R,1,12.000
162307,1407,2004-07-31,R,1,12.000
162307,2104,2005-01-16,R,1,12.000
162307,3604,2004-12-23,R,1,12.000
162307,4904,2004-12-26,R,1,12.000
162307,7704,2004-08-22,R,1,12.000
162307,9603,2005-04-09,R,1,9.000
163734,4409,2004-12-11,R,1,32.500
164436,6109,2004-08-27,R,1,56.000
